Category,Question,Answer
History & Holidays,What Was The Name Of The Son Of Cleopatra & Julius Caesar ,Caesarion 
General,The practice of women taking more than one husband is called?,Polyandry
General,Where did doughnuts originate,Holland
Science & Nature,The __________ has green bones.,Garfish
General,The Tilia is the Latin name for what type of tree,Lime
General,What is the main flavour of aioli,Garlic
General,"Bruce Willis, Arnold Schwarzenegger and Sylvester Stallone own which London restaurant",Planet hollywood
Geography,Budapest is the capital of ______?,Hungary
Entertainment,What was Don Rickles' nickname?,Mr. Warmth
General,A normal human body has 46 what,Chromosomes
General,Which English Monarch Had The Shortest Reign,Edward 5th
General,"Nelis, Seckel, Forelle and Bosc all varieties of what",Pears
Geography,"Located in the Indian Ocean just north of the equator, __________ had a highly developed civilization as early as the fifth century B.C.",Sri lanka
Science & Nature,Dogs bark. What do donkeys do,Bray
General,George Harrison lost a plagiarism suit for which of his songs,My sweet lord
General,Lack of what makes albinos,Pigment
Science & Nature,Circuits can be wired in series or in _________.,Parallel
General,Who did zola budd trip in the 1984 los angeles olympics,Mary decker
General,If you landed at Shannon airport where are you,Limerick
General,Which of tea leaves or coffee beans have more caffeine,Tea leaves
General,What have over 80% of boxers suffered,Brain damage
History & Holidays,Which TV Character Owns A Talking Cat Called Salem ,Sabrina Teenage Witch 
Music,What Kind Of triangle Did New Order Have,Bizarre Love Triangle
General,What is the longest continuous footpath in the world,Appalachian trail
General,Who was the Greek and Roman god of the wind?,Aeolus
General,Who was the first person to break the sound barrier,Chuck yager
General,BB King gave his guitar what nickname,Lucile
General,What is the french word for 'mistake',Faux pas
Geography,This re_opened in 1975 after being closed for 8 years.,Suez canal
Science & Nature,How Many Faces Has The Solid A Dodecahedron ,12 
General,For what is ethylene glycol used in automobiles,Anti-freeze
History & Holidays,Which member of the Beatles got his first drum kit on Christmas Day 1957 ,Ringo Starr 
Music,Name Led Zeppelins Drummer Who Died Of An Alcohol Related Incident In 1980,John Bonham
General,What is the flower that stands for: promptness,Ten-week stock
History & Holidays,Which U.S. President was the first to have a Christmas tree in the White House? ,Franklin Pierce (1853-1857) 
Entertainment,"Besides the Stones, which group had the longest touring career until the founder's death in 1995?",The Grateful Dead
General,Winston Churchill married in 1908. What was his wife's Christian name,Clementine
General,What is the town locale in the tv serial search for tomorrow,Henderson
Tech & Video Games,"In the 'Extreme Battle' mini-game in 'Resident Evil 2', what characters are selectable?","Claire, Leon, Ada, and Chris"
General,How many days are there in a leap year,366
General,How many segments for the number 8 on a digital clock,Seven
Music,What Was The First No.1 For The Hollies,I'm Alive
History & Holidays,Name The 8 Reindeer From 'The Night Before Christmas' Poem ,"Blitzen, Comet, Cupid, Dancer, Dasher, Donner, Prancer, Vixen "
General,Which Famous Pop Star Made An On Screen Appearance Alongside Mr.T In The A Team,Boy George
General,In golf what name is given to the No 3 wood,Spoon
General,London and which UK city are joined by the Grand Union canal,Birmingham
General,Why did Mehmet Ali Agca become famous in 1981,Shooting pope jean paul ll
General,Marduk was the creator of the world to what ancient people,Babylonians
General,Casey Kasem was the original voice of what cartoon character,Shaggy on Scooby Doo
Tech & Video Games,Which body part is found in Bodley Mansion in 'Castlevania II: Simon's Quest'?,An eye
General,What is the US equivalent of the UK Anglican church,Episcopalian
General,What is a mexican avocado dip,Guacamole
General,Who created james bond,Ian fleming
General,Who sang 'foolish games',Jewel
General,What egyptian object is also known as 'the key to the nile',Ankh
Science & Nature,What is the meaning of the name of the constellation Sagitta ?,Arrow
General,"Who wrote ""The Outcast of the Islands""",Joseph conrad
General,Where is the novel 'Anne of Green Gables' set?,Avonlea
General,What colours are on the belgian flag,"Yellow, black and red"
Geography,What is the capital of Suriname,Paramaribo
Science & Nature,It would require an average of 18 __________ to weigh in at 1 ounce.,Hummingbirds
History & Holidays,Who assassinated John Lennon?,Mark David Chapman
Music,Who Had A 90's Hit With The Song Mona,Craig McLachlan
General,What is a group of this animal called: Bear,Sleuth sloth
Tech & Video Games,"In the game Joust, what animal was your mount?",An Ostritch
General,Animals that once existed but don't exist now are said to be _______.,Extinct
General,What are Waist Overalls,Jeans - Levi Struss
General,What's the term for a bet before cards are dealt,Ante
General,Joe Louis became World Champion in which year,1937
General,What dr seuss character steals christmas,Grinch
Sports & Leisure,Which Sport Do The Miami Dolphins Play? ,American Football 
Music,"Whose 1999 Debut Solo Album Was Entitled ""Schizophonic""",Geri Halliwell
General,What is the name of Moses and Aaron's sister,Miriam
General,What Are You Frightened Of If you are Alektorophobic?,Chickens
General,What Italian habit did Thomas Coyrat introduce to England 1608,Eating with forks
General,Crashes what was the first ship to reach the titanic after it sank,Carpathia
General,What is the official state food of Texas,Chilli
General,Khrushchev what was the sequel to 'going my way',The bells of st mary's
General,Where in the USA is Yale university,Connecticut
General,"What are described by the terms rep, challis & foulard",Neckties
General,What actor played seven roles in no way to treat a lady,Rod steiger
Science & Nature,"What nationality was Robert Bunsen, of Bunsen Burner Fame? ",German 
General,The Rimac river runs through what city,Lima Peru
General,What is the slowest moving land mammal,Sloth
General,On average what weight nine pounds,Cremated Ashes
General,What is used to lift fingerprints from difficult surfaces,Super glue
Science & Nature,Which Country Containes The Worlds Biggest Oil Refinery ,Venezuela 
General,Tanzania Was Formely A Colony Of Which Country,Germany
Music,What Was The Beatles First Hit Single,Love Me Do
General,1990s slang for very short cutoff jeans.,Daisy dukes
Art & Literature,Who wrote Great Expectations?,Charles Dickens
History & Holidays,How Long Was The Hundred Years War? ,116 Years 
General,What is the only country with one train station,Singapore
General,Name the twins on the Thundercats.,Wily Kit and Wily Kat
General,In which river did the Pied Piper drown the rats of Hamelin,Weser
General,Which actor was dubbed the muscles from Brussels,Jean Claude Van Dam
General,What product was originally manufactured by communications giant Nokia?,Paper
General,What is the line frequency of the american power supply,60hz
General,The Charles Bridge and St Vitus' Cathedral are in which European city,Prague
Science & Nature,What is a group of larks called?,Exaltation
General,"Carl Djerassi, Pioneered, Invented and Patented Which Everyday Product?",The Contraceptive Pill
Geography,Which Palace was the principal home of the Monarchy prior to 1837 when Buckingham Palace became the Monarchs address ,St James Palace 
General,In 1995 the average US public school had 75 what,Computers installed
General,Who wrote about Willie Wonka and the Chocolate Factory,Roald Dahl
Music,Irene T Escalera Is The Real Name Of Which Singer,Irene Cara
General,Tennis what links Coke Rolex Slazenger Robinson's Barley water,Only adverts Wimbledon Centre
General,What's the main ingredient in glass,Sand
General,Who directed the film 'ordinary people',Robert redford
General,What type of creature was an Archelon,A Turtle
General,From whom did the u.s buy the virgin islands,Denmark
People & Places,Whose Daughter Married Thin Lizzys Phil Lynott ,Leslie Crowther 
General,"According to Elton John, what were we hoppin' and boppin' to",Crocodile Rock
Science & Nature,Who Opened The First Cinema In Paris In 1895 ,The Lumiere Brothers 
General,Albert De Salvo was better known as who,The Boston Strangler
General,In which film did Kevin Costner make his directorial debut,Dances with wolves
Music,"The Cover Version ""Sea Of Love"" Was A Hit For The Honey Drippers Or The honey Eaters",The Honey Drippers
General,"What, on an Italian menu, is 'zuppa inglese'",Trifle
General,Who or what killed Al Capone,Syphilis
General,In Korea which animal is the symbol of long life,The deer
Music,What was Brian's brother's name?,Clive
General,In Greek mythology Cronos and Rhea were the parents of who,Zeus
General,What sort of drink is barbancourt,Rum
General,In England what can you not hang out of your window,A Bed
General,"What surgical operation was done 115,000 times in us in 1986",Silicone breast
General,Who was the only pope born in England,Adrian iv
General,What is the name of Doctor Claws pet in Inspector Gadget,Madcat
Sports & Leisure,From Which Country Do The Soccer Team Anderlecht Hail ,Belgium 
General,What is South Carolinas official state dance,The Shag
General,Mount Teide is the highest mountain in which country,Spain it's on Tenerife
Music,"Which Product Was Advertised Using The Clash's ""Should I Stay Or Should I Go"" Making The Record A UK Number Hit In 1991",Levi's
Geography,What is the capital of Slovakia,Bratislava
Geography,What Is The Most Westerly Capital City In Mainland Europe ,Lisbon (Portugal) 
Music,Which Country Singer Guested With The KLF On Their Single Justified & Ancient,Tammy Wynette
General,Who invented the kinetoscope,Thomas edison
General,Kr is the chemical symbol for which element,Krypton
General,The name Hilary comes from Latin meaning what,Cheerfulness
Geography,What is the capital of Gambia ?,Banjul
Geography,Into what sea does the Elbe River flow?,North Sea
General,What city is Sugarloaf Mountain located in,Rio de janeiro
General,What book was made into the first feature length British cartoon,Animal Farm in 1954
General,Who is the famous giantkiller?,Jack
General,Copper gets its name from which Mediterranean country,Cyprus where it was first found
General,What does a Geophage do,Eats earth
Music,Name The One Colour Group And Their Best Selling One Colour Album From 1998,Simply Red / Blue
General,Planet 24 Is A Production Company Founded By Which Singer,Bob Geldof
General,Candlestick maker,Butcher baker candlestick maker
General,Approximately how deep are the deepest mines? (in km),Four
General,In which country did Turkeys originate,USA
General,Which of King Arthur's knights survived his last battle,Sir Bedavere
General,Rex Stout created what corpulent orchid loving private eye,Nero Wolfe
General,What is the fear of getting wrinkles known as,Rhytiphobia
General,"Which American devised a noise reduction system, now in general use, for tape-recorders etc",Ray dolby
People & Places,Whom Did Neil Kinnock Succeed As Leader Of The Labour Party? ,Michael Foot 
General,Who found the long lost explorer david livingston,Henry stanley
General,U.S. captials Louisiana,Baton rouge
Science & Nature,The average __________ weighs 14 pounds.,Fox
General,In Star Trek the Ferengi 10th rule of Acquisition what is eternal,Greed
General,What is the fear of the figure 8 known as,Octophobia
General,Scandinavian aquavit is flavoured with what,Cumin or Caraway
History & Holidays,"""What Was The Name Of The Character That Henry Travers Plays In The Movie """"It's A Wonderful Life"""""" ",Clarence Oddbody 
Food & Drink,"In 1999, which American retail giant announced that it was buying the Asda food retail chain? ",Wal-Mart 
General,South Africa's Robben Island takes its name from which creatures,Seals
General,What does an ornithologist study,Birds
General,"In Knight Rider,what does K.I.T.T.'s name stand for?",Knight Industries Two Thousand
Music,Which 3 ReMixed Sister Sledge Tracks Were Released In 1993,"We Are Family, Lost In Music, Thinking Of You"
General,In Which Country Was The Singer Mika Born,Lebanon
Entertainment,Who killed Kenny?,They
General,Pinigerophobia is the fear of,Smothering
General,When are new states admitted to the u.s,"Noon, july 4th"
General,In ancient China what meat was reserved for the Emperor,Pork
General,What line on a map connects places of equal rainfall,Isohyat
General,What does elly may call her pets in the beverly hillbillies,Critters
General,What is the Capital of: Guadeloupe,Basse-terre
Science & Nature,How many pockets has a snooker table ,Six 
Entertainment,"In 1987, who released her second album 'Solitude Standing'?",Suzanne Vega
General,Who did Imran Khan marry in 1995,Jemima goldsmith
Geography,What country borders Egypt to the South?,Sudan
Science & Nature,What venomous serpent is known as the gentlemen among snakes ,The rattlesnake 
Music,The Brotherhood Of Man Recorded The Best Selling Single Of 1975 Can You Name It,Save All Your Kisses For Me
General,What percent of the world's water is potable (drinkable),1%
Music,Which Fraudulent Duo Told The Girl It Was True But Must Have Missed Her When They Were Found Out,Milli Vanilli
General,Bristlemouths are the worlds most common what,Fish
General,A story of ones own life,Autobiography
General,Hannibal had only one what,Eye after Rome attack
General,What nationality was the architect Le Corbusier,Swiss
General,What nationality is Prince Phillip,Greek
General,In 1973 Pioneer 11 launched. First spacecraft to flyby,Saturn
General,What does NATO stand for ?,North Atlantic Treaty Organization
Art & Literature,"A termed coined by British art critic Roger Fry to refer to a group of nine-teenth century painters, who were dissatisfied with the limitations of impressionism. It has since been used to refer to various reactions against impressionism, such as fauvism and expressionism.",Postimpressionism
General,Nashville is the capital of ______,Tennessee
General,In the song where was the 'House of the Rising Sun' located,New orleans
General,Who said Politics is the art of the possible 11 Aug 1867,Otto Von Bismarck
Music,Which Single Brought Together The Eurythmics & Aretha Franklin In 1985,Sisters Are Doin It For Themselves
General,What do French speakers call the German town that Germans call Aachen,Aix-la-chapelle
History & Holidays,Who Played The Title Role In The 1960 Hammer Production The Curse Of The Werewolf ,Oliver Reed 
General,What is the name of the island that separates the two waterfalls at Niagara,Goat island
General,What's the opposite of the orient,The occident
Music,"This Group Had Their greatest Hit Between ""Texas Cowboys"" And Rollercoaster Name It",Swamp Thing / The Grid
General,What does WD stand for in WD 40 Water,Displacer
Religion & Mythology,Poseidon was the Greek god of the ______?,Sea
History & Holidays,Who Is The Youngest Member Of The Rolling Stones ,Keith Richards 
General,"During which conflict were the battles of Blore Heath, Wakefield, Northampton and Mortimer's Cross",Wars of the roses
General,What type of bird is a 'Khaki Campbell',Duck
General,Dish served A la Crecy is garnished with what,Carrots
History & Holidays,What region is the world's largest exporter of Christmas trees? ,Nova Scotia 
Music,Who Sang Backing Vocals On U2's Pride,Chrissie Hynde
General,What do you call the underground systems in both Paris & Newcastle,Metro
General,What caused fjords,Glaciers
History & Holidays,"Formed in 1955, with which island was the organisation known by the acronym EOKA associated? ",Cyprus 
Geography,What is the capital of Kansas?,Topeka
General,What animal has the most taste buds over 27000,Catfish
Sports & Leisure,Alan Shearer was the first player to score 200 Premiership goals. Who was the second? ,Andy Cole 
General,"Squid, octopus and cuttlefish are all types of what",Cephalopods
General,Baseballer Joe Schlabotnik's greatest fan,Charlie brown
General,Who was the owner of the soda fountain on sesame street,Mr hooper
General,What Searchers hit was written by Sony Bono,Needles and Pins
General,Who played 'johnny mnemonic',Keanu reeves
General,"What is the dish of chopped avocado with onions, tomatoes, chilli and seasoning called",Guacamole
General,What were the names of the 3 mascots at the Sydney Olympic Games?,"Ollie, Millie & Syd"
General,"In Greek mythology, to where did zeus abduct europa",Crete
General,Edward Teach became famous as who,Blackbeard the Pirate
Music,Which Label Did Blondie Record Under For Their String Of Late 70's & Early 80's Hits,Chrysalis
History & Holidays,Which Famous Artist Was Shot And Wounded By Valeria Solanis In 1968 ,Andy Warhol 
General,"Who won an Oscar for his role in the film 'The Fugitive""",Tommy lee jones
Science & Nature,The giant __________ is the largest creature without a backbone. It weighs up to 2.5 tons and grows up to 55 feet long. Each eye is a foot or more in diameter.,Squid
General,Whose daughter became the wealthiest three year old in 1988?,Christina onassis
General,In what Australian state would you find Parkes,New south wales nsw
General,What was the name of the first 'talking movie',The jazz singer
Entertainment,Singer Paula ______?,Abdul
General,This branch of physics deals with the general laws governing the motion of material objects,Mechanics
General,"""Its all Greek to me"" comes from what Shakespeare play",Julius Caesar
General,Jefferson city is the capital of ______,Missouri
General,What did Tommy Kirk shoot because of hydrophobia,Old yeller
Geography,"Miami, Florida, is the most southerly major city in the continental United States, sitting about two degrees north of the ____________________",Tropic of cancer
Geography,Which mainland Latin American country is in neither South America nor Central America?,Mexico
Art & Literature,"Who Co-Wrote (Yeoman Of The Guard), (Lolanthe And The Mikado) ",Gilbert & Sullivan 
Sports & Leisure,How Many Lanes Does An Olympic Standard Swimming Pool Have ,Eight 
General,In 2000 what word was written on Sydney bridge in fireworks,Eternity
General,Which city is built on 118 islands,Venice
General,Who painted 'The 3rd of May' (1808),Francisco de goya
General,"Venus, Aphrodite and Hathor are all goddesses of what",Love
General,What is the name of Fred Flintstones paperboy,Arnold
Music,Which Group Spawned A Teenage Army Of Tartan Scarf Waving Fans,The Bay City Rollers
General,What is a tightrope walker,Funambulist
General,BONANZA: What clothing did Little Joe usually wear,Green jacket and grey
History & Holidays,Which French Ruler Was Finally Defeated In 1815 ,Napoleon 
History & Holidays,Who Released The 70's Album Entitled Trans-Europe Express ,Kraftwerk 
General,What games name literally means To Grope Frantically,Scrabble
Music,"Faithless, Absolute & Hypnotize Were 80's Hits For Which Group",Scritti Politti
Art & Literature,"From which Shakespeare play is this line taken: Goodnight, goodnight! parting is such sweet sorrow, That I should say goodnight till it be morrow.",Romeo and juliet
General,Who was the minstrel that found Richard I imprisoned,Blondel (De Nesle)
Food & Drink,What is the minimum age for scotch whisky before it can be sold in the uk? ,3 Years 
Art & Literature,"Which Author Wrote The Sound & The Fury, The Wild Palms, And As I Lay Dying ",William Faulkner 
Science & Nature,Name The American Who Patented A Burglar Proof Lock Described As Magic & Infallible ,Linus Yale 
General,What country celebrates its National Day on 14th July?,France
General,Which singer is known as the 'Empress of the Blues'?,Bessie Smith
General,"In ballet, a lowering of the body by bending the knee.",Fondu
General,What is the 'bole' of a tree,Trunk
Music,Who introduced Paul to John?,Ivan Vaughn
Food & Drink,Which Ancient Central American Civilisation Were Drinking Chocolate Milk As Long Ago As 600 BC ,Mayans 
General,What is William Hague's middle name,Jefferson
General,The angel shark has what other name,The monkfish
General,What is the only dog to have a barb on each individual hair follicle,Dalmatian
General,St Appolonia Patron Saint of what,Toothache
General,40% of MacDonald's profits come from selling what,Happy Meals
General,Who sailed to the Antarctic in the ship Discovery,Scott amundsen
Sports & Leisure,"In pro football a ""sudden death"" period lasts how many minutes long?",Fifteen
Geography,What is the capital of Poland,Warsaw
Sports & Leisure,What Are Goldie & Isis ,Reserve Boats For The Boat Race
General,Who composed the music for the opera The Tales of Hoffman,Jacques Offenbach
General,In which Welsh town is the Royal Mint,Llantrisant
Music,"What Part Did Tina Turner Play In Ken Russell's Movie ""Tommy""",The Acid Queen
Science & Nature,What is the meaning of the name of the constellation Draco ?,Dragon
General,"Wile E. Coyote, Supra Genius, gets all his traps to try to catch the Road Runner from what company",Acme
General,In Montana it is a felony for a wife to open her husbands what,Mail
General,Vaccinophobia is the fear of ______,Vaccination
General,Who was the first American to win a Nobel prize,Theodore Roosevelt
General,What happens every 45 seconds in the USA,House Fire
General,What is the Capital of: Comoros,Moroni
Science & Nature,Which soft metal is used in the production of soap? ,Sodium 
General,From the Earth to the sun is one AU what does AU stand for,Astronomical Unit
Music,In 1972 Mary Whitehouse Campaigned Furiously To Get Which Song Performed By An American Solo Artist Banned As She Deemed It Offensive,My Ding A Ling
Entertainment,"The eldest sister in the TV Series Charmed, is played by who?",Shannon Doherty
People & Places,Who Was Humphrey Bogarts 4th Wife ? ,Lauren Bacall 
Sports & Leisure,Between 1950 And 2000 Name Three Tennis Players Born in Germany That Won The Men's Singles Title At Wimbledon? (PFE) ,"Boris Becker , John McEnroe & Michael Stich "
General,"Cool, Nice and Oz are all types of what?",Computer Languages
General,"What have woodpecker scalps, porpoise teeth and giraffe tails all been used as",Money
General,Who was the first person to make a million pounds out of playing golf,Arnold Palmer
Music,Which male vocal range is pitched between tenor and bass?,Baritone
General,More than 100 women make a living from impersonating who,Marilyn Monroe
General,What fleshy muscular organ is joined to the hyoid bone,Tongue
General,"Where Exactly Were The Band ""The Bee Gees"" Actually Born",The Isle Of Man
Entertainment,Who is Snoopy's arch enemy?,The Red Baron
General,In Milan citizens can be fined $100 if they don’t always do what,Smile - Not Hospital and Funerals
General,In the UK the Clerk of the Closet is the Queens official what,Chaplin
General,"Either of two saturated hydrocarbons, or alkanes, with the chemical formula C4H10",Butane
General,What is the drummer's name in 'the muppet show',Animal
General,"There are 2 annual publications devoted to the peerage. One is Burkes Peerage, what is the other",Debretts
General,Which Character On Television Has The Surname “ Sagdiyev ” ?,Borat
General,Portion of the central nervous system contained within the skull,Brain
General,Where is the guggenheim museum,New york city
General,"In physics, process of reduction of matter into a denser form, as in the liquefaction of vapor or steam.",Condensation
General,Who Is The Only Carry On Star To Have Won As Oscar,Jim Dale
General,What shape is the set of all points in a plane equidistant from a certain point,Circle
General,What percentage of the earths weight is taken up by the oceans,Less than 1
Entertainment,Who directed the classic thriller 'The Birds'?,Alfred Hitchcock
General,What is another name for the star fruit,Carambula
Toys & Games,How many pieces are found in a chess set ?,32
Language,"Other than Germany, whose official language is German?",Austria
General,"Which Actress Turned Singer Released Their 4th Album In 2009 Entitled ""Come To Life""",Natalie Imbruglia
General,Which king of England met the king of France on the field of the cloth of gold,Henry viii
General,"Richard Drew produced an all purpose sticky tape, under what name was it sold in Europe",Sellotape
General,Which band recorded the live album 'Strangers in the Night',Ufo
People & Places,What Surrey town is famed for its salts?,Epsom
Geography,The U.S. state that contains the most square miles of inland water is ______________,Alaska
General,"What was Higgins first name in ""Magnum PI""",Jonathan
General,Who directed Serpico,Sidney Lumet
History & Holidays,How Many Gold Rings In Total Did My True Love Give To Me (Think About It) ,40 (5x8=40) 
Science & Nature,What Function Does The Labyrinth In Your Ear Have ,It Maintains Your Balance 
Geography,Which country has Budapest as its capital,Hungary
Sports & Leisure,What Is The Most Popular Finishing Double In Professional Darts? ,Double 16 
History & Holidays,Who was the first person to break the sound barrier?,Chuck Yeager
General,What is the common name for many species of burrowing mollusks,Clam
Music,In The Film Risky Business Tom Cruise Danced Around His Living Room In His Underpants To What Song,Old Time Rock & Roll
General,What was the first country to have a public monorail system,Japan
General,The lumbar spine consists of how many vertebrae,Five
General,Which country and western singer is known as the 'okie from muskogee',Merle
General,"Panther Cap', 'Stinkhorn' and 'Penny Bun' are types of which plants",Fungi
General,How many freckles did howdy doody have,Forty eight
Music,Which 1970's Group Featured The Longmuir Brothers?,Bay City Rollers
General,Which US state has a buffalo or bison on its flag,Wyoming
General,What does bbl mean,Be back later
General,In which state is Cornell University,New york
General,Which author wrote the two World War 2 books 'Fighter' and 'Bomber',Len deighton
General,What did president lincoln proclaim a national holiday in 1863,Thanksgiving
General,In June of what year was the treaty ending WWl signed,1919
General,What west coast nfl team has the motto 'commitment to excellence',Oakland
Music,Which DJ & Recording Artist Is Known As The House Godfather,Frankie Knuckes
General,What is the study of soil,Paedology
General,Which TV series was narrated by Walter Winchell,The Untouchables
General,What do Ethiopians spend,Birrs
Music,Which 2 Boys Spent 12 Weeks In The Charts Together With A Re-Mixed Surfari's Track,Beach Boys & Fat Boys (Wipeout)
General,56% of men have had sex where,At Work
People & Places,How Did Dmaon Hill's Father Graham Die ? ,In A Plane Crash 
General,A 'roux' is produced when making which food,Sauce
General,In which musical work would you hear the song As Long As He Needs Me,Oliver
General,What is the nickname for Texas,Lone star state
General,What was ALF's girlfriend from Melmac's name?,Rhonda
Geography,In Which Country Will You Find The Holiday Resort Bodrum ,Turkey 
Music,"Liza Minelli Recorded An Album With The ""Pet Shop Boys"" Or ""David Bowie""",The Pet Shop Boys
Geography,What Is The Principle Language Of Brazil ,Portuguese 
General,For which ad campaign was the line 'i can't believe i ate the whole thing' used,Alka seltzer
History & Holidays,"When the choctaw indians were moved to oklahoma,they brought their crack police force with them. what were they called ",Lighthorsemen 
General,Who was Tommy Lee Jones' freshman roommate at Harvard?,Al Gore
Food & Drink,"Bourbon, sugar and mint make up which type of Cocktail ",Mint Julep 
General,How many individual bets make up a Yankee,Eleven
General,What ocean separates North America from Europe,Atlantic
History & Holidays,When was the Greek alphabet first used?,800 BC
General,"In medical matters, what does the letter C stand for in C.A.T. scanner",Computerised
General,What name is given to a doctor who specialises in skin disorders,Dermatologist
General,What is the commonest name for a pub in Britain,The Red Lion
General,"What's the radical feminist word for ""history""",Herstory
General,Who was the first woman to win 4 consecutive US tennis open,Chris Evert Lloyd
General,What is a bangtail,Perforated tag
History & Holidays,Released in 1978 what were the names of the two gangs which John Travolta and Olivia Newton John belonged to in the movie `Grease'? ,The T-Birds and The Pink Ladies 
General,How many chromosomes do each body cell contain,Forty six
Geography,What is the capital of Romania,Bucharest
General,In which California city does Poltergeist take place?,Cuesta Verde
General,"Where did over 300 defiant Indians head off to, after Sitting Bull was killed",Wounded knee
Sports & Leisure,A Statue Of Billy Bremner Stands Outside The Ground Of Which Football Ground? ,Leeds United 
Science & Nature,What's the term for the hybrid offspring if a male lion and a female tiger ,Liger 
Music,Which 1985 Song Was Co Written By Michael Jackson And Lionel Richie,We Are The World
General,"Which classic film of 1948 was advertised as, 'Greed, Gold and Gunplay on a Mexican Mountain of Malice'",Treasure of the sierra madre
History & Holidays,How Does Good King Wencelesas Like To Eat His Pizza ,Deep Pan Crisp And Even 
History & Holidays,Who Released The 70's Album Entitled John Barleycorn Must Die ,Traffic 
General,New jersey has a spoon featuring over _________spoons from every state and almost every country,5400
Science & Nature,The __________ whale is the mammal with the heaviest brain _ about six times heavier than a human's.,Sperm
Music,James Todd Smith Is The Real Name Of Which Singer,LL Cool J
General,What are the first names of the popular early 80's duo hall and oates,Darryl
General,What were the wicks in the Vestal Virgins lamps made from,Asbestos
General,The Beatles Were The 1st British Group To Have A Us No.1 Single Who Was The 2nd,The Animals
General,You can ski on the piste but what other sport uses the term,Fencing where the fight happens
General,What's the main feature of a Chong Sang skirt,Split up side
General,What is the fear of cosmic phenomenon known as,Kosmikophobia
General,What is the literal meaning of the title Viceroy,In place of the King
General,What French cheese is ripened in caves,Roquefort ewes milk
General,Which planet was discovered in 1846,Neptune
General,What is the most frequently seen comet?,Encke
General,Name award shaped like a teapot with a skull and crossbones,Agatha - for crime mystery writers
Mathematics,The angles inside a square total _______ degrees.,360
General,What was the first gramophone record made from,Tinfoil
Music,"Who Am I ""frederick Bulsara (1964-1991)",Freddie Mercury
General,#NAME?,Socialism
General,Where was slave trading abolished in 1807,British empire
General,It is estimated that at any give time 1% world’s population is what,Drunk
Music,"Which Swedish Female Vovalist Used ""Open Sesame"" To Enter The Charts",Leila K
Music,Which Song Was Used To Launch MTV In America,Video Killed The Radio Star
General,In what Indian city is the Taj Mahal located,Agra
Geography,What is the basic unit of currency for Morocco ?,Dirham
General,What was the first Bond film not to be titled from a Bond book,Licence to Kill
General,What is the measure of monitor screen quality,Resolution
General,On what common object would you find a sleeve and a tray,A Matchbox
General,"Parr, Smolt and Grilse different names same thing what",Salmon - life stages
General,"Where was ""Conozca Beatles"" released",Mexico
General,William Perks became more famous as who,Bill Wyman
General,"Which city, capital of the Assyrian Empire, was destroyed by fire in 612 B.C.",Nineveh
General,Under what structure was the first nuclear reactor built in Chicago,Football stadium
People & Places,Which Celebrity Launched A Perfume Range Entitled 'M' Just In Time For Christmas 2007 ,Mariah Carey 
Sports & Leisure,In Athletics Track Races What Does The Ringing Of A Bell Signify ,The Last Lap 
General,Bob van Winkle changed his name to what,Vanilla Ice
Music,In The World Of Music Monica & Gabriela Irimia Are Otherwise Known As Who?,The Cheeky Girls
General,Osteoporosis primarily affects,Bones
Music,"When playing the bagpipes, what name is given to the “melody” pipe, played with one or two hands.",The CHANTER
General,What city is signified by the 'd' stamped on some american coins,Denver
General,What is the most common blood type in humans,Type o
General,Red white blue yellow green what's missing from Rubik's cube,Orange
General,Which American crowned a great 1998 by winning at Wentworth,Mark o'neara
General,Bulls Blood wine comes from which country,Hungary
History & Holidays,Which singer sang 'I Believe In Father Christmas'' ,I Believe In Father Christmas 
General,What should be done with a used worn out flag,Burned
General,What was the real name of the hospital on St. Elsewhere?,St. Eligius
General,Johannes Ostermeir invented which photographic aid,Flashbulbs
General,An assisted reproductive technology (art) in what one or more eggs are fertilized outside a female's body,Invitro fertilization
General,In what Australian state would you find whyalla,South australia
General,Name two self cleaning organs,Eye Vagina
General,Who owned the yacht Lady Ghislane,Robert Maxwell
History & Holidays,Ghost Town' was the only number single released by which British band ,Specials 
General,What us state includes the telephone area code 608,Wisconsin
Geography,Which is the largest lake in the British Isles? ,Lough Neagh in Northern Ireland 
Sports & Leisure,Who was the first NHL player to score 50 goals in one season?,"Maurice Richard <-- pronounced ""Reeee-shard"""
General,"In Which Us State Was Rapper And Hip Hop Artist ""Eminem"" Born",Missouri
General,Aviatophobia is a fear of ______,Flying
Science & Nature,A quarter horse gets its name from its speed in running the __________,Quarter_mile
General,"What was the setting for walk, don't run",Tokyo olympics
Music,What is Ray Charles' real last name?,Robinson
General,Which is the largest known butterfly,Queen alexandra's birdwing
General,Terrence Nezman became more famous as who,Stanley Kubrick
General,Where was the first Pony Express set up,Outer Mongolia
General,Denzil Washington's first film as director was what,Finding Fish
General,"Which South African Country (NOT South Africa) Banned The Book ""Black Beauty"" After Claiming It's Title Was Racist",Namibia
General,Who wrote the novel' The Turn of the Screw',Henry james
General,Which Tv Legend Plays The Captain In The New Series Of Fort Boyard ?,Tom Baker
General,"In 'coronation street', who is ken and denise's son",Daniel
Music,Whiose first solo hit was Spread A Little Happiness in 1982?,Sting
General,Approximately how many times a minute does lightning strike the earth,Six
General,In The Classic 80's Video Prince Charming By Adam And The Ants Who Played The Role Of The Fairy God Mother,Diana Dors
